"Story","Title","Result","Date","Stability","Duration (s)"
"Heroku app CURD test with steps","This will create a new booking","FAILURE","2022-06-06T15:46:30.802+01:00[Europe/London]","0.0","3.86"
"Heroku app CURD test with steps","Verify if the booking was added to the list","FAILURE","2022-06-06T15:46:34.731+01:00[Europe/London]","0.0","0.62"
